,Titre,Auteur,Volumes,Pages,Édition,Couverture,Format,Harakat,Vérification et préparation,Préface,Annotations,lien
55,موسوعة محمد رسول الله ﷺ,د. أحمد بن عثمان المزيد,6,,,Rigide,17x24cm,En Partie,,,,https://www.sifatusafwa.com/fr/as-sira-an-nabawiya/encyclopédie-de-muhammad-le-messager-d-allah-pack-de-6-livres.html
56,كتاب سيرة رسول الله ﷺ,سليمان بن طرخان التيمي,,208,مركز الملك فيصل للبحوث والدراسات الإسلامية,Rigide,17x24cm,En Partie,رضوان الحصري,,,https://www.sifatusafwa.com/fr/as-sira-an-nabawiya/kitab-sirah-rasul-allah-sulayman-ibn-tarkhan-at-taymi-143h.html
57,قصص من حياة الرسول و أصحابه,محمد علي دولة,,540,دار القلم,Rigide,17x24cm,Pas ou peu (ou que sur le Matn),,,,https://www.sifatusafwa.com/fr/as-sira-an-nabawiya/qassas-min-hayat-ar-rasul-wa-ashabuhu-muhammad-ali-dawlah.html
58,أضواء على تاريخ علوم العربية,أ. د. مازن المبارك,,392,دار ابن كثير,Rigide,17x24cm,Pas ou peu (ou que sur le Matn),,,,https://www.sifatusafwa.com/fr/autour-de-la-langue-arabe/adhwae-ala-tarikh-ouloum-al-arabiyyah-dr-mazin-al-moubarak.html
59,عند المفسرين ويليه معرفة الوجوه والنظائر في القرآن الكريم,الشيخ محمد بن عمر بازمول,,90,الميراث النبوي,Souple,17x24cm,Pas ou peu (ou que sur le Matn),,,,https://www.sifatusafwa.com/fr/autour-du-coran-et-du-tafsir/al-istinbat-inda-al-mufassirin-wujuh-wa-nadha-ir-cheikh-bazmoul.html
60,دلائل الإعجاز,عبد القاهر الجرجاني,,593,,Rigide,17x24cm,Pas ou peu (ou que sur le Matn),د. إبراهيم بن أحمد الوافي,,محمد الطاهر ابن عاشور,https://www.sifatusafwa.com/fr/autour-du-coran-et-du-tafsir/dala-il-al-i-jaz-de-l-imam-abdul-qahir-al-jarjani-471h.html
61,كتاب فضائل القرآن,الإمام أبو عبيد القاسم بن سلام,,681,دار الخزانة,Rigide,17x24cm,Pas ou peu (ou que sur le Matn),د. مروان العطية,,,https://www.sifatusafwa.com/fr/autour-du-coran-et-du-tafsir/kitab-fadail-al-qur-an-al-qasim-ibn-salam-224h.html
62,صحابة رسول الله - صلى الله عليه وسلم - وجهودهم في تعليم القرآن الكريم والعناية به,أنس أحمد كرزون,,448,دار السلام,Rigide,17x24cm,Pas ou peu (ou que sur le Matn),,,,https://www.sifatusafwa.com/fr/autour-du-coran-et-du-tafsir/les-efforts-des-compagnons-dans-l-enseignement-du-coran-et-sa-mise.html
63,مبادئ المتشابه اللفظي في القرآن العظيم,الشيخ محمد بن عمر بازمول,,92,الميراث النبوي,Souple,17x24cm,Pas ou peu (ou que sur le Matn),,,,https://www.sifatusafwa.com/fr/autour-du-coran-et-du-tafsir/mabadih-al-mutachabih-al-lafdhi-fi-al-quran-al-adhim-cheikh-bazmoul.html
64,محاضرات في الشبهات المزعومة حول القرآن الكريم,د. حازم السعيد,,317,دار الغوثاني,Rigide,17x24cm,En Partie,,,,https://www.sifatusafwa.com/fr/autour-du-coran-et-du-tafsir/mouhadarat-fi-choubouhat-hawla-al-qur-an-al-karim-dr-hazim-al-sa-id.html
