,Title,Author,Pages,Edition,Cover,Format,Harakat,Checking and preparation,Preface,Volumes,Annotations,lien
269,"نقض كتاب ""تحقيق المقال"" وتوضيح ما عليه جماعة التبليغ من تصوف وضلال",الشيخ محمد بن فهد الفريح,207,دار اللؤلؤة,غلاف,14x20cm,None or a little bit (or only on the Matn),,الشيخ صالح الفوزان,,,https://www.sifatusafwa.com/ar/الطوائف-الضالة-و-البدع/critique-of-the-book-tahqiq-al-maqal-of-jama-a-tabligh-preface-al-fawzan.html
270,فتح المنان في دراسة الفرق والأديان,طارق سعيد عبدالله القحطاني,267,دار الناشر المتميز,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/الطوائف-الضالة-و-البدع/fath-al-manan-fi-dirasah-al-firaq-wa-al-adyan-tariq-said-al-qahtani.html
271,حقيقة التصوف,الشيخ صالح الفوزان,62,دار الأثار,غلاف,12x17cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/الطوائف-الضالة-و-البدع/haqiqah-at-tassawuf-shaykh-saalih-al-fawzaan.html
272,إثبات الأشاعرة صفتي السمع والبصر لله تعالى,الشيخ صالح بن عبد العزيز سندي,63,دار اللؤلؤة,غلاف,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/الطوائف-الضالة-و-البدع/ithbat-al-asha-irah-sifatay-as-sama-wa-al-basar-as-sindi.html
273,جهود شيخ الإسلام ابن تيمية في باب الأسماء الحسنى,أرزقي السعيد سعيدي,1087,مكتبة دار المنهاج,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/الطوائف-الضالة-و-البدع/juhud-shaykh-al-islam-ibn-taymiyyah-fi-bab-al-asma-wa-as-sifat.html
274,جهود شيخ الإسلام ابن تيمية في نقض استدلالات أهل الأهواء,لطفي أبوخشيم,1488, دار الركائز,مجلد,17x24cm,None or a little bit (or only on the Matn),,,2,,https://www.sifatusafwa.com/ar/الطوائف-الضالة-و-البدع/juhud-shaykh-al-islam-ibn-taymiyyah-fi-naqd-istidlalat-ahl-al-ahwae.html
275,قصة الأشاعرة,د. عمار خنفر,864,مكتبة دار الحجاز,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/الطوائف-الضالة-و-البدع/qissah-al-asha-irah-historical-and-theological-research.html
276,اليزيديون : عقائدهم وعاداتهم,,103,الرسالة العالمية,غلاف,17x24cm,None or a little bit (or only on the Matn),ممدوح الزوبي,,,ممدوح الزوبي,https://www.sifatusafwa.com/ar/الطوائف-الضالة-و-البدع/yazidis-beliefs-and-customs.html
277,المنهاج المختصر في علمي النحو والصرف,عبد الله بن يوسف الجديع,192,شركة الريان,مجلد,17x24cm,In Part,,,,,https://www.sifatusafwa.com/ar/العربية-للمبتدئين/al-minhaj-al-mukhtasar-fi-nahw-wa-sarf-wa-imlae.html
278,الشرح الميسر على ألفية ابن مالك في النحو والصرف,د. عبد العزيز بن علي الحربي,399,دار ابن حزم,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/العربية-للمبتدئين/al-sharh-al-muyasar-ala-alfiat-ibn-malik-fin-nahw-wa-sarf-dr-al-harbi.html
279,أيسر الشروح على متن الآجرومية,د. عبد العزيز بن علي الحربي,184,دار ابن حزم,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/العربية-للمبتدئين/aysar-ash-shurooh-ala-matn-al-ajroomiyyah-dr-abdelaziz-al-harbi.html
280,الدرة المضية في عقد أهل الفرقة المرضية,العلامة شمس الدين محمد السفاريني الحنبلي,286,دار الرياحين,مجلد,17x24cm,In Part,عبد الله بن محمد العبد الله,,,عبد الله بن محمد العبد الله,https://www.sifatusafwa.com/ar/العقيدة/ad-durrah-al-mudiyah-fi-aqd-ahl-al-firqah-al-mardiyah-as-safarini.html
281,الأمثال القرآنية القياسية المضروبة للإيمان باليوم الآخر,محمد رفيق فرُّخ أحمد,863,دار الناشر المتميز,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/العقيدة/al-amthal-al-quraniyah-lil-iman-bil-yam-al-akhir.html
282,الفوائد البازية المهمة على الدروس المهمة لعامة الأمة لابن باز,,264,دار ابن الجوزي,مجلد,17x24cm,None or a little bit (or only on the Matn),علي بن سعود بن علي العرجاني,,,,https://www.sifatusafwa.com/ar/العقيدة/al-fawaid-al-baziyyah-al-muhimmah-ala-ad-durus-al-muhimmah.html
283,الانتقاء في عقائد الأئمة الأربعة الفقهاء (أبي حنيفة ومالك والشافعي وأحمد),طارق بن سعيد القحطاني,131,دار الناشر المتميز,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/العقيدة/al-intiqa-fi-aqa-id-al-a-immah-al-arba-ah-al-fuqaha-tariq-al-qahtani.html
284,القواعد الأصولية المؤثرة في مسائل عقيدة أهل السنة و الجماعة,يوسف رسمات دورانوف,734,دار ابن الجوزي,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/العقيدة/al-qawa-id-al-usuliyyah-al-ma-thurah-fi-masa-il-aqidah-ahl-as-sunnah.html
285,الواسطة بين الحق والخلق,شيخ الإسلام ابن تيمية,72,المكتب الإسلامي,غلاف,12x17cm,None or a little bit (or only on the Matn),الشيخ محمد بن ناصر الدين الألباني و محمد زهير الشاويش,,,,https://www.sifatusafwa.com/ar/العقيدة/al-wasitah-bayna-al-haqq-wal-khalq-shaykh-al-islam-ibn-taymiyyah.html
286,الطمأنينة والاعتدال في أركان الصلاة ومعدل الصلاة,شيخ الإسلام ابن تيمية,78,المكتب الإسلامي,غلاف,17x24cm,None or a little bit (or only on the Matn),محمد رحمت الله الندوي,,,,https://www.sifatusafwa.com/ar/العقيدة/among-the-pillars-of-prayer-shaykh-al-islam-ibn-taymiyyah.html
287,المسائل العقدية التي نقلها ابن مفلح في الفروع عن شيخه ابن تيمية,الشيخ صالح بن عبد العزيز سندي,47,دار اللؤلؤة,غلاف,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/العقيدة/aqida-subjects-reported-by-ibn-muflih-of-his-sheikh-ibn-taymiyya.html
288,عقيدة أهل السنة والجماعة في أفعال الله,خالد بن عمر العلمي,688,دار الناشر المتميز,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/العقيدة/aqidah-ahl-as-sunnah-wal-jama-ah-fi-af-al-allah-khalid-al-alami.html
289,شرح على شرح الشيخ محمد خليل هراس على العقيدة الواسطية لابن تيمية,الشيخ محمد أمان الجامي,1178,مكتبة دار الحجاز,غلاف,17x24cm,None or a little bit (or only on the Matn),,,2,,https://www.sifatusafwa.com/ar/العقيدة/explanation-of-sharh-al-aqidah-al-wasitiyyah-shaykh-muhammad-aman-al-jami.html
290,فتاوى علماء المالكية في تقرير عقيدة أهل السنة والجماعة,د. فاضل بن نورالدين الإمام,871,دار التوحيد للنشر,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/العقيدة/fatawa-ulama-al-malikiyah-fi-taqrir-aqidah-ahl-as-sunnah.html
291,المناظرات العقدية لشيخ الإسلام ابن تيمية,هيثم بن قاسم الحمري,799,دار الناشر المتميز,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/العقيدة/ibn-taymiyyah-s-debates-in-matters-of-aqidah.html
292,كلمة الإخلاص وتحقيق معناها,الحافظ ابن رجب,72,المكتب الإسلامي,غلاف,14x20cm,None or a little bit (or only on the Matn),الشيخ محمد ناصر الدين الألباني,,,,https://www.sifatusafwa.com/ar/العقيدة/kalimah-al-ikhlas-la-ilaha-illa-allah-ibn-rajab-al-hanbali.html
293,كتاب التوحيد في ضوء عقيدة الإمام الشافعي,سفيان عبد العزيز قاضي,134,دار منار التوحيد,غلاف,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/العقيدة/kitab-at-tawhid-according-to-the-aqidah-of-imam-al-shafi-i.html
294,محاضرات في العقيدة والدعوة,الشيخ صالح الفوزان,1651,دار العاصمة,مجلد,17x24cm,None or a little bit (or only on the Matn),,,2,,https://www.sifatusafwa.com/ar/العقيدة/muhadarat-fi-al-aqeedah-wa-ad-da-wah-70-lectures-by-al-fawzan.html
295,نواقض توحيد الربوبية و مظاهرها,أ. د. أحمد بن عبد الله الغنيمان,235,دار طيبة الخضراء,غلاف,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/العقيدة/nawaqid-tawhid-ar-rububiyyah-dr-ahmad-ibn-abdullah-al-ghunayman.html
296,رسالة الشرك ومظاهره,الشيخ مبارك الميلي,511,الميراث النبوي,مجلد,17x24cm,In Part,,,,,https://www.sifatusafwa.com/ar/العقيدة/risalah-ash-shirk-wa-madhahirihi-sheikh-mubarak-al-mili.html
297,شهادة أن لا إله إلا الله: معناها وفضلها وشروطها ونواقضها,الشيخ صالح بن عبد العزيز سندي,117,دار اللؤلؤة,غلاف,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/العقيدة/shahaadatu-an-laa-ilaaha-illa-allaah-saalih-as-sindee.html
298,شرح القواعد الأربع,الشيخ عبد الرزاق بن عبد المحسن البدر,104,دار المداد,غلاف,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/العقيدة/sharh-al-qawa-id-al-arba-shaykh-abdurrazzaq-al-badr.html
299,شر ح الأصول الستة,الشيخ عبد الرزاق بن عبد المحسن البدر,104,دار المداد,غلاف,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/العقيدة/sharh-al-usul-as-sittah-shaykh-abdurrazzaq-al-badr.html
300,شرح العقيدة التدمرية,الشيخ محمد أمان الجامي,1056,مكتبة دار الحجاز,غلاف,17x24cm,None or a little bit (or only on the Matn),,,2,,https://www.sifatusafwa.com/ar/العقيدة/sharh-at-tadmuriah-li-ibn-taymiyyah-shaykh-muhammad-aman-al-jami.html
301,شرح كتاب معالم أصول الدين لفخر الدين الرازي,نجم الدين عبد الرحمن بن عبد الله الخونجي,667,دار الرياحين,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/العقيدة/sharh-kitab-ma-alim-usul-ad-din-lil-imam-fakhr-ad-din-ar-razi-606h.html
302,شرح نواقض الإسلام,الشيخ صالح الفوزان,29,دار المأثور,غلاف,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/العقيدة/sharh-nawaqid-al-islam-al-fawzan.html
303,شرح نواقض الإسلام,الشيخ عبد الرزاق بن عبد المحسن البدر,56,دار المداد,غلاف,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/العقيدة/sharh-nawaqid-al-islam-shaykh-abdurrazzaq-al-badr.html
304,تعقبات العلماء ابابطين وسليمان بن سحمان والسعدي على لوامع الانوار البهية للسفاريني,ابابطين وسليمان بن سحمان والسعدي,152,دار إلاف الدولية,مجلد,17x24cm,None or a little bit (or only on the Matn),سليمان بن صالح الخراشي,,,,https://www.sifatusafwa.com/ar/العقيدة/ta-qibat-ulema-aba-butayn-ibn-samhan-as-sa-di-ala-imam-as-safarini.html
305,صفات الله عز وجل الواردة في الكتاب والسنة,علوي بن عبد القادر السقاف,463,الدرر السنية,مجلد,17x24cm,In Part,,,,,https://www.sifatusafwa.com/ar/العقيدة/the-attributes-of-allah-in-the-quran-and-the-sunnah-harakat.html
306,أسباب النبوغ عند السلف,عبد الفتاح أبو غدة,71,دار البشائر الإسلامية,غلاف,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/العقيدة/the-causes-of-wonders-among-the-salafs-abdul-fattah-abu-ghuddah.html
307,الأحاديث الواردة في تحذير النبي أمته من الشرك,فهد بن سعد المقرن,156,دار الناشر المتميز,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/العقيدة/the-hadiths-concerning-the-warning-against-shirk.html
308,الآيات البينات في عدم سماع الأموات عند الحنفية السادات,نعمان بن محمود الألوسي,130,المكتب الإسلامي,غلاف,17x24cm,None or a little bit (or only on the Matn),الشيخ محمد ناصر الدين الألباني,,,الشيخ محمد ناصر الدين الألباني,https://www.sifatusafwa.com/ar/العقيدة/الآيات-البينات-في-عدم-سماع-الأموات-نعمان-بن-محمود-الألوسي.html
309,خمس وعشرون نصيحة لطلبة العلم,أبو عبد الله الأثري,160,الرسالة العالمية,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/العلم-و-طلب-العلم/25-advices-for-students-of-knowledge-abu-abdillah-al-athari.html
310,آداب طالب العلم وسبل بنائه ورسوخه,أحمد بن ناصر الطيار,167,مكتبة دار الحجاز,غلاف,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/العلم-و-طلب-العلم/adab-talib-al-ilm-student-behavior-dr-ahmad-at-tayyar.html
311,الجامع الصحيح لأحاديث العلم من الكتب الستة - تحتوي على 160 حديثا صحيحا,د. ماهر مروان مهرات,92,دار اللباب,مجلد,14x20cm,In Majority or Totality,,,,,https://www.sifatusafwa.com/ar/العلم-و-طلب-العلم/al-jami-as-sahih-li-ahadith-al-ilm-min-al-kutub-as-sittah.html
312,الجامع لأخلاق الراوي وآداب السامع,الحافظ الخطيب البغدادي,,,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/العلم-و-طلب-العلم/al-jami-li-akhlaq-ar-rawi-al-khatib-al-baghdadi.html#/30-edition-1_volume
